Generate Data for pNet
[2016-11-30 21:20:47,817][INFO] loading WIDER
[2016-11-30 21:20:48,380][INFO] total images, train: 12797, val: 3196
[2016-11-30 21:20:48,382][INFO] total faces, train: 97311, val: 24101
[2016-11-30 21:20:48,382][INFO] writing train data, 12797 images
[2016-11-30 21:20:48,382][INFO] remove data/pnet_positive_train
[2016-11-30 21:20:48,458][INFO] remove data/pnet_negative_train
[2016-11-30 21:20:48,596][INFO] remove data/pnet_part_train
[2016-11-30 21:20:48,666][INFO] fill queues
[2016-11-30 21:20:49,191][INFO] writes 3233 positives, 3226 negatives, 3540 part
[2016-11-30 21:20:49,429][INFO] writes 7229 positives, 5760 negatives, 7010 part
[2016-11-30 21:20:49,653][INFO] writes 11150 positives, 7794 negatives, 11055 part
[2016-11-30 21:20:49,865][INFO] writes 14390 positives, 10496 negatives, 15113 part
[2016-11-30 21:20:50,043][INFO] writes 18281 positives, 12928 negatives, 18790 part
[2016-11-30 21:20:50,339][INFO] writes 21271 positives, 16318 negatives, 22410 part
[2016-11-30 21:20:50,540][INFO] writes 24595 positives, 19584 negatives, 25820 part
[2016-11-30 21:20:50,747][INFO] writes 28210 positives, 22215 negatives, 29574 part
[2016-11-30 21:20:51,059][INFO] writes 31591 positives, 25088 negatives, 33320 part
[2016-11-30 21:20:51,266][INFO] writes 35516 positives, 27417 negatives, 37066 part
[2016-11-30 21:20:51,586][INFO] writes 39033 positives, 30936 negatives, 40030 part
[2016-11-30 21:20:51,791][INFO] writes 42311 positives, 33281 negatives, 44407 part
[2016-11-30 21:20:52,015][INFO] writes 45247 positives, 37072 negatives, 47680 part
[2016-11-30 21:20:52,207][INFO] writes 48824 positives, 39936 negatives, 51239 part
[2016-11-30 21:20:52,463][INFO] writes 52439 positives, 42877 negatives, 54683 part
[2016-11-30 21:20:52,672][INFO] writes 56100 positives, 45312 negatives, 58587 part
[2016-11-30 21:20:52,897][INFO] writes 59544 positives, 48025 negatives, 62430 part
[2016-11-30 21:20:53,137][INFO] writes 62844 positives, 51065 negatives, 66090 part
[2016-11-30 21:20:53,312][INFO] writes 66197 positives, 53942 negatives, 69860 part
[2016-11-30 21:20:53,609][INFO] writes 68353 positives, 59266 negatives, 72380 part
